feature,mean_shap,mean_abs_shap
z_wdi_fuel_imports_pct_merchandise_imports_roll6m,0.0,0.0
z_wdi_gdp_growth_annual_pct_roll3m,0.0,0.0
z_wdi_gdp_growth_annual_pct_roll6m,0.0,0.0
z_wdi_gdp_growth_annual_pct_roll12m,0.0,0.0
z_wdi_gdp_per_capita_growth_annual_pct_roll6m,0.0,0.0
z_wdi_gdp_per_capita_growth_annual_pct_roll12m,0.0,0.0
z_wdi_government_expense_pct_gdp_roll3m,0.0,0.0
z_wdi_government_expense_pct_gdp_roll6m,0.0,0.0
z_wdi_international_migrant_stock_pct_population_roll3m,0.0,0.0
z_wdi_international_migrant_stock_pct_population_roll12m,0.0,0.0
z_wdi_military_expenditure_pct_of_gdp_roll3m,0.0,0.0
z_wdi_military_expenditure_pct_of_gdp_roll6m,0.0,0.0
z_acled_total_fatalities_delta3m,0.0,0.0
z_acled_battles_events_delta6m,0.0,0.0
z_acled_explosions_remote_violence_events_delta6m,0.0,0.0
z_acled_protests_events_delta3m,0.0,0.0
z_acled_strategic_developments_events_delta3m,0.0,0.0
z_acled_violence_against_civilians_events_delta3m,0.0,0.0
z_acled_battles_fatalities_delta3m,0.0,0.0
z_acled_battles_fatalities_delta6m,0.0,0.0
z_acled_explosions_remote_violence_fatalities_delta6m,0.0,0.0
z_acled_protests_fatalities_delta3m,0.0,0.0
z_acled_protests_fatalities_delta6m,0.0,0.0
z_acled_riots_fatalities_delta3m,0.0,0.0
z_acled_strategic_developments_fatalities_delta3m,0.0,0.0
z_acled_strategic_developments_fatalities_delta6m,0.0,0.0
z_acled_total_fatalities_lag12,0.0,0.0
z_acled_population_exposure_sum_lag6,0.0,0.0
z_acled_admin1_count_lag1,0.0,0.0
z_acled_admin1_count_lag3,0.0,0.0
z_acled_admin1_count_lag6,0.0,0.0
z_acled_violence_against_civilians_fatalities_lag3,0.0,0.0
z_acled_violence_against_civilians_fatalities_lag12,0.0,0.0
z_acled_political_violence_events_lag3,0.0,0.0
z_acled_political_violence_events_lag6,0.0,0.0
z_acled_political_violence_events_lag12,0.0,0.0
z_acled_political_violence_fatalities_lag3,0.0,0.0
z_acled_political_violence_fatalities_lag6,0.0,0.0
z_acled_political_violence_fatalities_lag12,0.0,0.0
z_acled_demonstrations_events_lag3,0.0,0.0
z_acled_demonstrations_events_lag6,0.0,0.0
z_acled_demonstrations_events_lag12,0.0,0.0
z_acled_demonstrations_fatalities_lag1,0.0,0.0
z_acled_demonstrations_fatalities_lag3,0.0,0.0
z_acled_battles_events_lag1,0.0,0.0
z_acled_battles_events_lag3,0.0,0.0
z_acled_battles_events_lag6,0.0,0.0
z_acled_battles_events_lag12,0.0,0.0
z_acled_explosions_remote_violence_events_lag1,0.0,0.0
z_acled_explosions_remote_violence_events_lag3,0.0,0.0
z_log_sipri_milex_per_capita_constant_2023_usd_roll12m,0.0,0.0
z_acled_violence_against_civilians_fatalities_delta6m,0.0,0.0
z_log_ucdp_max_intensity_level_roll3m,0.0,0.0
z_acled_demonstrations_events_delta6m,0.0,0.0
z_acled_demonstrations_fatalities_delta3m,0.0,0.0
z_acled_demonstrations_fatalities_delta6m,0.0,0.0
z_log_ucdp_conflict_count_roll12m,0.0,0.0
z_wdi_commercial_service_imports_current_usd,0.0,0.0
z_log_acled_political_violence_events_roll3m,0.0,0.0
z_log_acled_political_violence_events_roll6m,0.0,0.0
z_log_acled_political_violence_events_roll12m,0.0,0.0
z_log_acled_political_violence_fatalities_roll3m,0.0,0.0
z_log_acled_political_violence_fatalities_roll6m,0.0,0.0
z_wdi_gdp_per_capita_growth_annual_pct_delta12m,0.0,0.0
z_log_acled_political_violence_fatalities_roll12m,0.0,0.0
z_log_acled_demonstrations_events_roll3m,0.0,0.0
z_cumulative_conflict_onsets,0.0,0.0
z_log_wdi_central_government_debt_pct_gdp,0.0,0.0
z_log_wdi_commercial_service_exports_current_usd,0.0,0.0
z_log_wdi_commercial_service_imports_current_usd,0.0,0.0
